swimming,sport,201807132132,201807132212,40,0,2,4,swimming,3,20187251445,1
swimming,sport,201807131958,201807132038,40,0,1,4,swimming,3,20187251445,1
swimming,sport,201807131824,201807131904,40,0,0,4,swimming,3,20187251445,1
swimming,sport,201807131700,201807131730,30,0,3,4,swimming,3,20187251445,1
swimming,sport,201807132132,201807132212,40,0,2,4,swimming,3,20187251445,1
swimming,sport,201807131958,201807132038,40,0,1,4,swimming,3,20187251445,1
swimming,sport,201807131824,201807131904,40,0,0,4,swimming,3,20187251445,1
A,M,201807131300,201807131400,60,0,4,5,A,10,20187232345,1
A,M,201807130900,201807131000,60,0,1,5,A,10,20187232345,1
A,M,201807131000,201807131100,60,0,0,5,A,10,20187232345,1
A,M,201807130800,201807130900,60,0,2,5,A,10,20187232345,1
A,M,201807122300,201807122400,60,0,3,5,A,10,20187232345,1
B,mis,201807122000,201807122050,50,0,0,1,miss,100,201807122300,1
swimming,sport,201807131700,201807131730,30,0,3,4,swimming,3,20187251445,1
A,M,201807131300,201807131400,60,0,4,5,A,10,20187232345,1
A,M,201807131000,201807131100,60,0,0,5,A,10,20187232345,1
A,M,201807130900,201807131000,60,0,1,5,A,10,20187232345,1
A,M,201807130800,201807130900,60,0,2,5,A,10,20187232345,1
A,M,201807122300,201807122400,60,0,3,5,A,10,20187232345,1
